,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Rikitea,PF,73.41,-23.12,-134.97,100,0,8.23
1,Dhidhdhoo,MV,83.58,6.88,73.1,100,8,8.46
2,Nerchinskiy Zavod,RU,67.02,51.31,119.61,64,64,10.69
3,Busselton,AU,58.56,-33.64,115.35,100,80,13.82
4,Batemans Bay,AU,68.91,-35.71,150.18,61,0,6.55
5,Yatou,CM,75.2,3.63,9.81,100,75,2.24
6,Umm Lajj,SA,85.92,25.02,37.27,77,0,7.34
7,Cravo Norte,CO,75.84,6.3,-70.2,92,88,3.42
8,Yeppoon,AU,77,-23.13,150.74,36,0,12.75
9,Hobart,AU,66.2,-42.88,147.33,45,75,16.11
10,Port Blair,IN,83.13,11.67,92.75,98,68,8.57
11,Palmer,AU,60.8,-34.85,139.16,67,75,20.8
12,Klaksvik,FO,48.2,62.23,-6.59,100,88,2.24
13,San Quintin,PH,86,17.54,120.52,74,75,11.41
14,Atuona,PF,78.54,-9.8,-139.03,100,0,16.06
15,Hilo,US,67.87,19.71,-155.08,74,40,11.41
16,Ushuaia,AR,42.8,-54.81,-68.31,75,20,4.7
17,Katsuura,JP,78.8,33.93,134.5,65,40,10.29
18,Cape Town,ZA,42.8,-33.93,18.42,93,0,4.7
19,Cabo San Lucas,MX,77,22.89,-109.91,88,40,10.25
20,Haines Junction,CA,38.94,60.75,-137.51,63,8,2.98
21,Vaini,IN,78.45,15.34,74.49,87,8,3.65
22,Havre-Saint-Pierre,CA,37.4,50.23,-63.6,100,40,4.7
23,Mataura,NZ,48.3,-46.19,168.86,73,8,7
24,Mollendo,PE,48.39,-17.03,-72.02,92,8,0.63
25,Avarua,CK,75.2,-21.21,-159.78,83,75,3.36
26,Lebu,ET,61.98,8.96,38.73,83,8,1.97
27,Namibe,AO,62.43,-15.19,12.15,100,88,6.55
28,Halifax,CA,51.8,44.65,-63.58,81,40,4.7
29,Victoria,BN,86.92,5.28,115.24,79,75,4.7
30,Bol,TD,79.17,13.47,14.72,75,0,3.98
31,Alyangula,AU,81.78,-13.85,136.42,80,0,8.9
32,Sao Paulo de Olivenca,BR,76.65,-3.38,-68.87,93,44,2.19
33,San Patricio,PY,66.48,-26.98,-56.83,71,0,5.44
34,Severo-Kurilsk,RU,51.9,50.68,156.12,91,88,2.86
35,Yokadouma,CM,68.01,3.52,15.05,99,88,2.98
36,College,US,48.18,64.86,-147.8,74,1,2.98
37,Bambous Virieux,MU,71.6,-20.34,57.76,83,75,11.41
38,Ballina,IE,48.2,54.11,-9.15,93,75,9.17
39,Albany,US,59.04,42.65,-73.75,90,90,4.7
40,Taoudenni,ML,81.78,22.68,-3.98,52,76,5.88
41,Butaritari,KI,85.56,3.07,172.79,100,68,11.7
42,Mar del Plata,AR,51.54,-46.43,-67.52,55,12,16.28
43,San Rafael,AR,42.54,-34.61,-68.33,83,20,4.88
44,Invermere,CA,40.56,50.51,-116.03,67,20,1.41
45,Kiama,AU,71.6,-34.67,150.86,49,0,11.41
46,Cidreira,BR,57.48,-30.17,-50.22,94,48,10.02
47,Praia da Vitoria,PT,71.6,38.73,-27.07,94,0,10.25
48,Hermanus,ZA,39.66,-34.42,19.24,91,0,2.86
49,Waingapu,ID,86.46,-9.65,120.26,51,48,11.03
50,Pacific Grove,US,58.23,36.62,-121.92,77,1,4.65
51,Jiuquan,CN,61.44,39.73,98.49,42,0,4.54
52,Labuhan,ID,87.81,-2.54,115.51,52,0,6.78
53,Ternate,PH,86,14.29,120.72,89,75,11.41
54,Saint-Francois,FR,51.8,46.42,3.91,93,0,2.75
55,Castro,CL,47.49,-42.48,-73.76,97,92,4.99
56,Coahuayana,MX,67.83,18.62,-100.35,100,88,1.41
57,Kapaa,US,78.67,22.08,-159.32,87,40,9.17
58,Henties Bay,NA,53.34,-22.12,14.28,99,0,3.98
59,Sioux Lookout,CA,56.46,50.1,-91.92,82,5,3.36
60,Blythe,US,93.92,33.61,-114.59,19,1,5.82
61,Mackay,CA,46.4,53.65,-115.58,100,90,2.24
62,Beyneu,KZ,76.65,45.32,55.19,26,0,7.45
63,Maldonado,UY,53.6,-34.91,-54.96,87,0,3.36
64,Samarai,PG,77.73,-10.62,150.67,99,88,18.86
65,Caravelas,BR,73.86,-17.73,-39.27,100,56,9.13
66,Buraydah,SA,89.6,26.33,43.97,31,40,3.36
67,Manjacaze,MZ,66.03,-24.71,33.88,75,0,6.22
68,Contai,IN,84.21,21.78,87.75,98,56,9.13
69,Atasu,KZ,54.24,48.68,71.64,65,56,11.7
70,Saint-Philippe,CA,54.88,45.36,-73.48,93,90,6.93
71,Sola,FI,51.8,62.78,29.36,93,75,11.41
72,Jamestown,AU,74.85,-33.21,138.6,21,8,24.34
73,Danilov,RU,54.06,58.19,40.17,83,68,9.24
74,Bilibino,RU,51.9,68.06,166.44,83,92,3.31
75,Witu,KE,78.72,-2.39,40.44,76,32,9.24
76,Egvekinot,RU,51.72,66.32,-179.17,87,48,4.65
77,Belmopan,BZ,77.82,17.25,-88.77,89,44,2.19
78,Hovd,NO,48.27,63.83,10.7,87,0,13.87
79,Punta Arenas,CL,37.4,-53.16,-70.91,86,20,13.87
80,Torres,BR,58.29,-29.34,-49.73,100,92,5.99
81,Jijiang,CN,78.8,29.8,120.61,78,75,6.71
82,Arraial do Cabo,BR,66.84,-22.97,-42.02,100,48,1.74
83,Santa Maria,BR,54.78,-29.69,-53.81,90,0,10.02
84,Fare,PF,77.01,-16.7,-151.02,100,92,12.59
85,Kavaratti,IN,81.51,10.57,72.64,100,56,9.57
86,Port Hardy,CA,55.4,50.7,-127.42,93,75,4.7
87,Ribeira Grande,PT,74.58,38.52,-28.7,98,24,11.03
88,Verkhoyansk,RU,35.16,67.55,133.39,75,88,8.01
89,Chifeng,CN,66.66,42.27,118.96,63,20,13.27
90,Geraldton,CA,51.8,49.72,-86.95,87,40,5.82
91,Nabire,ID,76.83,-3.36,135.5,81,48,1.41
92,Port Elizabeth,US,67.1,39.31,-74.98,94,90,4.7
93,Kodiak,US,60.98,39.95,-94.76,100,1,8.23
94,Boyuibe,BO,77.19,-20.43,-63.28,40,100,4.99
95,Areosa,PT,63.5,41.72,-8.86,93,0,4.76
96,Rupert,US,61.48,42.62,-113.68,43,1,5.82
97,Batagay-Alyta,RU,34.71,67.8,130.41,75,0,3.76
98,Haputale,LK,86.73,6.77,80.96,60,0,6.11
99,Tasiilaq,GL,39.2,65.61,-37.64,93,80,2.24
100,Dvinskoy,RU,51.36,62.16,45.12,77,0,3.65
101,Yellowknife,CA,39.2,62.45,-114.38,64,75,12.75
102,Anadyr,RU,62.6,64.73,177.51,77,0,17.9
103,Majene,ID,87,-3.54,118.97,80,0,19.08
104,Kutum,SD,75.57,14.2,24.66,34,0,11.48
105,Georgetown,GY,75.2,6.8,-58.16,94,20,2.24
106,Manzanillo,CU,81.87,20.34,-77.12,100,32,16.06
107,Dharchula,IN,63.06,29.85,80.53,81,64,1.3
108,Chuy,UY,52.98,-33.69,-53.46,92,48,8.79
109,Saldanha,PT,49.74,41.42,-6.55,93,0,3.98
110,Shelburne,CA,57.81,44.08,-80.2,100,90,3.36
111,Barrow,AR,46.86,-38.31,-60.23,94,8,11.7
112,Upernavik,GL,36.96,72.79,-56.15,100,8,6.67
113,Mastic Beach,US,65.68,40.77,-72.85,93,90,3.36
114,Talas,TR,59,38.69,35.55,62,20,3.65
115,Fortuna,ES,73.4,38.18,-1.13,69,20,5.82
116,Svobodnyy,RU,70.89,53.85,40.53,36,68,10.58
117,New Norfolk,AU,66.2,-42.78,147.06,45,75,16.11
118,Whyalla,AU,73.4,-33.04,137.58,27,75,26.4
119,Cervo,BR,47.94,-22.19,-46.24,85,0,2.42
120,Tuatapere,NZ,48.66,-46.13,167.69,100,8,7.11
121,Los Llanos de Aridane,ES,73.4,28.66,-17.92,73,24,12.75
122,Mersing,MY,81.51,2.43,103.84,100,80,5.21
123,Boshan,CN,80.61,36.48,117.83,42,36,2.75
124,Road Town,VG,80.96,18.42,-64.62,79,1,0.96
125,Aden,YE,84.84,12.79,45.03,92,0,13.71
126,Kaoma,ZM,61.89,-14.8,24.8,61,0,10.36
127,Luderitz,NA,51.81,-26.65,15.16,87,8,3.53
128,Puerto Escondido,MX,84.75,15.86,-97.07,100,8,3.65
129,Iwaki,JP,68,37.05,140.89,72,75,4.7
130,Sainte-Maxime,FR,64.85,43.31,6.64,82,0,3.36
131,Navalmoral de la Mata,ES,58.11,39.89,-5.54,87,0,5.66
132,Esperance,TT,75.2,10.24,-61.45,94,20,4.21
133,Kahului,US,77.49,20.89,-156.47,76,40,18.34
134,Bluff,AU,81.6,-23.58,149.07,29,0,10.47
135,Aksarka,RU,44.97,66.56,67.8,87,64,15.61
136,Khatanga,RU,41.28,71.98,102.47,95,88,10.69
137,Slave Lake,CA,46.4,55.28,-114.77,87,90,4.7
138,Meadow Lake,CA,45.69,54.13,-108.44,99,92,5.44
139,Chokurdakh,RU,57.66,70.62,147.9,60,8,4.43
140,Avera,US,74.64,33.19,-82.53,94,1,3.36
141,Nikolskoye,RU,51.8,59.7,30.79,100,90,8.95
142,Adrar,DZ,91.4,27.87,-0.29,24,40,9.17
143,Gualeguaychu,AR,57.66,-33.01,-58.51,80,0,12.48
144,Vao,EE,60.27,59.1,26.19,74,80,7
145,Ponta do Sol,BR,59.19,-20.63,-46,63,0,4.21
146,Iranshahr,IR,93.2,27.21,60.69,28,0,3.31
147,Souillac,FR,56.39,45.6,-0.6,93,90,2.24
148,Pallasovka,RU,71.79,50.04,46.89,34,44,13.27
149,Sur,OM,83.31,22.57,59.53,90,0,4.21
150,Pevek,RU,53.43,69.7,170.27,83,80,15.5
151,Dikson,RU,36.24,73.51,80.55,100,76,15.05
152,Airai,TL,84.48,-8.93,125.41,36,0,2.75
153,Bolotnoye,RU,44.88,55.67,84.39,68,56,10.25
154,Sobolevo,RU,60.63,54.43,31.9,78,88,6.11
155,Grand-Santi,GF,73.32,4.27,-54.38,100,100,2.19
156,Bud,NO,51.85,62.91,6.91,93,75,9.17
157,Mount Isa,AU,89.6,-20.73,139.49,15,0,8.05
158,Qaanaaq,GL,28.77,77.48,-69.36,100,12,0.74
159,High Level,CA,44.6,58.52,-117.13,70,20,6.93
160,Miyang,CN,72.69,24.4,103.44,74,76,7
161,Biak,ID,81.6,-0.91,122.88,77,32,9.35
162,Kavieng,PG,80.88,-2.57,150.8,100,64,3.42
163,Porto Novo,BR,60.8,-23.68,-45.44,87,75,6.93
164,Lavrentiya,RU,46.68,65.58,-170.99,100,80,8.46
165,Dunedin,NZ,48.21,-45.87,170.5,77,0,8.46
166,Verkhnyaya Inta,RU,43.98,65.99,60.32,91,88,7.11
167,Muzhi,RU,46.95,65.4,64.7,85,68,14.05
168,The Valley,AI,84.2,18.22,-63.06,70,20,3.09
169,Nelson Bay,AU,69.8,-32.72,152.14,56,0,12.75
170,Port Alfred,ZA,60.54,-33.59,26.89,95,0,5.32
171,Dukat,RS,57.48,42.44,22.31,77,0,2.19
172,Tabou,CI,76.47,4.42,-7.36,100,80,5.55
173,Kapustin Yar,RU,71.43,48.58,45.77,33,88,6.22
174,Grand Gaube,MU,71.6,-20.01,57.66,83,75,11.41
175,Mindelo,PT,60.8,41.31,-8.72,93,0,7
176,North Bend,US,56.14,43.41,-124.22,100,40,3.36
177,Lagoa,PT,73.4,37.14,-8.45,73,0,6.93
178,Chama,ZM,71.25,-11.22,33.16,68,44,7.9
179,Menongue,AO,57.66,-14.66,17.68,23,0,5.1
180,Thompson,CA,39.2,55.74,-97.86,86,90,2.24
181,Torbay,CA,50,47.66,-52.73,81,20,9.17
182,Iqaluit,CA,33.8,63.75,-68.52,86,75,9.17
183,Kargala,RU,45.42,56.62,83.96,75,0,8.79
184,Tuktoyaktuk,CA,30.2,69.44,-133.03,86,90,12.75
185,Lebanon,US,56.35,43.64,-72.25,90,90,7.78
186,Bereda,ES,53.6,43.27,-7.54,100,90,2.24
187,Mehran,IR,84.2,33.12,46.17,20,0,2.24
188,Raudeberg,NO,50.59,61.99,5.14,87,75,14.99
189,Talaya,RU,44.88,55.79,84.89,68,56,10.25
190,Zakamensk,RU,50.1,50.38,103.29,76,68,3.42
191,Acapulco,MX,82.4,16.86,-99.88,78,75,3.09
192,Macusani,PE,46.23,-14.07,-70.43,94,68,0.74
193,Bangassou,CF,68.73,4.74,22.82,100,92,2.08
194,Guerrero Negro,MX,70.71,27.97,-114.04,90,0,7
195,Bethel,US,59,60.79,-161.76,62,1,4.7
196,Ahuimanu,US,80.01,21.44,-157.84,74,20,9.17
197,Maniitsoq,GL,37.32,65.42,-52.9,100,92,12.37
198,Tiksi,RU,37.32,71.64,128.87,92,48,16.06
199,Shingu,JP,78.8,33.72,135.99,65,75,4.7
200,Alofi,NU,77,-19.06,-169.92,83,48,5.82
201,Pisco,PE,62.6,-13.71,-76.2,82,90,9.17
202,Verkhnevilyuysk,RU,46.23,63.45,120.31,59,0,3.42
203,Morahalom,HU,57.2,46.22,19.89,82,0,1.12
204,Tessalit,ML,70.35,20.2,1.01,79,8,2.86
205,Namatanai,PG,83.31,-3.66,152.44,99,48,7.56
206,Acajutla,SV,72.69,13.59,-89.83,94,92,1.52
207,Salamiyah,SY,74.04,35.01,37.05,44,0,4.32
208,Pochutla,MX,81.42,15.74,-96.47,100,0,1.97
209,Makakilo City,US,80.02,21.35,-158.09,64,75,8.05
210,Baykit,RU,50.37,61.68,96.39,87,92,9.13
211,Neryungri,RU,52.62,56.66,124.71,61,68,5.44
212,Port Lincoln,AU,55.86,-34.72,135.86,100,76,25.46
213,Abha,SA,75.27,18.22,42.5,25,0,0.74
214,Ostrovnoy,RU,50.91,68.05,39.51,85,8,13.71
215,San Cristobal,EC,50,-0.39,-78.55,71,75,10.29
216,Lompoc,US,56.53,34.64,-120.46,87,1,3.36
217,Cap Malheureux,MU,71.6,-19.98,57.61,83,75,11.41
218,Norman Wells,CA,32,65.28,-126.83,70,40,8.05
219,Vaitape,PF,79.08,-16.52,-151.75,100,8,10.92
220,Chapleau,CA,54.06,47.85,-83.4,95,0,7.11
221,Lubao,PH,84.29,14.94,120.6,83,75,9.17
222,Flin Flon,CA,46.77,54.77,-101.88,100,100,5.1
223,Santa Isabel do Rio Negro,BR,74.94,-0.41,-65.02,94,12,2.64
224,Kwinana,AU,59.63,-32.25,115.77,58,75,10.29
225,Petatlan,MX,79.44,17.52,-101.27,100,32,6.78
226,Valle de Allende,MX,52.71,26.94,-105.39,77,0,2.86
227,Saskylakh,RU,43.53,71.97,114.09,71,0,14.72
228,Bredasdorp,ZA,48.2,-34.53,20.04,93,0,4.7
229,Nortelandia,BR,64.23,-14.45,-56.8,76,0,2.42
230,Pareora,NZ,51,-44.49,171.21,83,0,2.64
231,Rusape,ZW,52.44,-18.53,32.12,69,0,3.65
232,Trelew,AR,54.24,-43.25,-65.31,63,20,16.73
233,Puerto Ayora,EC,70.26,-0.74,-90.35,100,0,10.8
234,Vostok,RU,62.16,46.45,135.83,62,0,2.75
235,Saint George,GR,68,39.45,22.34,60,0,6.93
236,Senanga,ZM,61.35,-16.1,23.3,30,0,7.34
237,Pangnirtung,CA,35.16,66.15,-65.72,100,88,19.75
238,Dalbandin,PK,96.63,28.9,64.41,14,0,3.09
239,Ilulissat,GL,35.6,69.22,-51.1,100,20,3.76
240,Decatur,US,65.21,35.51,-84.79,93,90,3.36
241,Faanui,PF,79.26,-16.48,-151.75,100,8,10.92
242,Xining,CN,54.69,36.62,101.77,81,92,3.76
243,Tura,IN,75.21,25.52,90.21,100,92,3.76
244,Fomboni,KM,77.28,-12.28,43.74,100,0,3.53
245,Grindavik,IS,46.4,63.84,-22.43,93,90,6.93
246,Westport,IE,48.2,53.8,-9.52,93,75,9.17
247,Corinth,GR,71.6,37.94,22.93,56,0,4.7
248,Adre,TD,72.6,13.47,22.2,83,24,3.98
249,Sorland,NO,53.6,67.67,12.69,93,75,5.82
250,Pleasanton,US,64.02,37.66,-121.87,63,1,8.05
251,Yulara,AU,91.4,-25.24,130.99,6,0,12.75
252,Leningradskiy,RU,51.99,69.38,178.42,72,92,12.71
253,Waipawa,NZ,48.39,-39.94,176.59,76,88,10.25
254,Matagami,NG,66.48,9.67,8.4,93,100,2.64
255,Nampula,MZ,70.8,-15.12,39.26,67,0,9.01
256,Berlevag,NO,55.9,70.86,29.09,82,20,25.28
257,Te Anau,NZ,49.83,-45.41,167.72,82,8,2.42
258,San Francisco,US,61.54,37.78,-122.42,82,1,12.75
259,Isangel,VU,72.78,-19.55,169.27,100,8,12.37
260,Soledad,US,58.19,36.43,-121.33,77,1,3.2
261,Nsanje,MZ,69.36,-16.92,35.26,69,8,4.32
262,Constitucion,MX,52.17,23.99,-104.67,95,24,2.42
263,Presidencia Roque Saenz Pena,AR,66.21,-26.79,-60.44,64,32,10.47
264,Mandalgovi,MN,57.93,45.76,106.27,51,0,16.73
265,Iaciara,BR,65.58,-14.1,-46.63,52,24,4.76
266,San Juan,PR,79.14,18.47,-66.12,76,20,3.36
267,Lunavada,IN,80.79,23.13,73.61,86,64,11.36
